country	percentGDP
AFG	6.3
ALB	1.3
DZA	4.8
AGO	4.8
ARG	0.9
ARM	4
AUS	1.6
AUT	0.8
AZE	4.7
BHR	3.9
BGD	1.2
BLR	1.3
BEL	1
BLZ	1
BEN	1
BOL	1.5
BIH	0.9
BWA	2
BRA	1.4
BRN	2.5
BGR	1.6
BFA	1.4
BDI	2.3
KHM	1.6
CMR	1.3
CAN	1
CPV	0.5
CHL	1.9
CHN	2
COL	3.4
COD	2.3
CRI	0
HRV	1.6
CYP	2.1
CZE	1.1
DNK	1.4
DOM	0.6
ECU	1.7
EGY	1.7
SLV	0.8
EST	2
ETH	0.7
FJI	1.3
FIN	1.2
FRA	2.2
GAB	1.3
GEO	2.8
DEU	1.4
GHA	0.6
GRC	2.4
GTM	0.5
GUY	1.1
HTI	0
HND	1.2
HUN	0.9
IND	2.5
IDN	0.9
IRQ	3.6
IRL	0.5
ISR	5.6
ITA	1.6
JAM	0.8
JPN	1
JOR	3.5
KAZ	1.3
KEN	1.9
KOR	2.8
KWT	3.2
KGZ	3.3
LVA	1
LBN	4.4
LSO	2
LBR	0.7
LTU	0.8
LUX	0.5
MKD	1.2
MDG	0.5
MWI	1.4
MYS	1.5
MLI	1.4
MLT	0.6
MRT	4
MUS	0.2
MEX	0.6
MDA	0.3
MNE	1.5
MAR	3.8
MMR	4.5
NAM	3.3
NPL	1.3
NLD	1.3
NZL	1
NIC	0.8
NGA	1
NOR	1.4
OMN	11.3
PAK	3
PAN	0
PNG	0.5
PRY	1.6
PER	1.4
PHL	1.3
POL	1.8
PRT	2.2
ROU	1.3
RUS	4.1
RWA	1.1
SAU	9.3
SEN	1.5
SRB	2.1
SYC	1
SLE	0.6
SGP	3.4
SVK	1
SVN	1.2
ZAF	1.2
ESP	0.9
LKA	2.8
SWZ	2.9
SWE	1.2
CHE	0.8
TWN	2.2
TZA	1.2
THA	1.5
TLS	0.4
TUN	2
TUR	2.3
UGA	2.2
GBR	2.3
UKR	3
URY	1.9
USA	3.8
VEN	1.4
VNM	2.3
YEM	2.9
ZMB	1.7
ZWE	3.4
